Location,Airport,IATA,ICAO
Walvis Bay,Walvis Bay Airport,WVB,FYWB
Bloemfontein,Bram Fischer International Airport,BFN,FABL
Cape Town,Cape Town International Airport,CPT,FACT
Durban,King Shaka International Airport,DUR,FALE
East London,East London Airport,ELS,FAEL
Johannesburg,O. R. Tambo International Airport,JNB,FAOR
Johannesburg,Lanseria International Airport,HLA,FALA
Nelspruit,Kruger Mpumalanga International Airport,MQP,FAKN
Polokwane,Polokwane International Airport,PTG,FAPP
Bujumbura,Bujumbura International Airport,BJM,HBBA
Moroni,Prince Said Ibrahim International Airport,HAH,FMCH
Djibouti,Djibouti–Ambouli International Airport,JIB,HDAM
Asmara,Asmara International Airport,ASM,HHAS
Addis Ababa,Addis Ababa Bole International Airport,ADD,HAAB
Dire Dawa,Dire Dawa Airport,DIR,HADR
Eldoret,Eldoret International Airport,EDL,HKEL
Mombasa,Moi International Airport,MBA,HKMO
Kisumu,Kisumu International Airport,KIS,HKKI
Nairobi,Jomo Kenyatta International Airport,NBO,HKJK
Antananarivo,Ivato International Airport,TNR,FMMI
Antsiranana,Arrachart Airport,DIE,FMNA
Mahajanga,Amborovy Airport,MJN,FMNM
Nosy Be,Fascene Airport,NOS,FMNN
Toamasina,Toamasina Airport,TMM,FMMT
Tôlanaro,Tôlanaro Airport,FTU,FMSD
Toliara,Toliara Airport,TLE,FMST
Blantyre,Chileka International Airport,BLZ,FWCL
Lilongwe,Lilongwe International Airport,LLW,FWKI
Plaine Magnien,Sir Seewoosagur Ramgoolam International Airport,MRU,FIMP
Dzaoudzi,Dzaoudzi–Pamandzi International Airport,DZA,FMCZ
Maputo,Maputo International Airport,MPM,FQMA
Beira,Beira Airport,BEW,FQBR
Inhambane,Inhambane Airport,INH,FQIN
Nampula,Nampula Airport,APL,FQNP
Pemba,Pemba Airport,POL,FQPB
Tete,Chingozi Airport,TET,FQTT
Vilankulo,Vilankulo Airport,VNX,FQVL
Saint-Denis,Roland Garros Airport,RUN,FMEE
Kigali,Kigali International Airport,KGL,HRYR
Victoria,Seychelles International Airport,SEZ,FSIA
Bosaso,Bosaso Airport,BSA,HCMF
Galkayo,Abdullahi Yusuf Airport,GLK,HCMR
Garowe,Garowe Airport,GGR,HCMW
Hargeisa,Hargeisa Airport,HGA,HCMH
Kismayo,Kismayo Airport,KMU,HCMK
Mogadishu,Aden Adde International Airport,MGQ,HCMM
Juba,Juba International Airport,JUB,HSSJ
Malakal,Malakal Airport,MAK,HSSM
Arusha,Arusha Airport,ARK,HTAR
Dar es Salaam,Julius Nyerere International Airport,DAR,HTDA
Hai District,Kilimanjaro International Airport,JRO,HTKJ
Mwanza,Mwanza Airport,MWZ,HTMW
Tanga,Tanga Airport,TGT,HTTG
"Unguja, Zanzibar",Abeid Amani Karume International Airport,ZNZ,HTZA
Arua,Arua Airport,RUA,HUAR
Entebbe,Entebbe International Airport,EBB,HUEN
Gulu,Gulu Airport,ULU,HUGU
Livingstone,Harry Mwanga Nkumbula International Airport,LVI,FLLI
Lusaka,Kenneth Kaunda International Airport,LUN,FLKK
Mfuwe,Mfuwe Airport,MFU,FLMF
Ndola,Simon Mwansa Kapwepwe International Airport,NLA,FLSK
Harare,Robert Gabriel Mugabe International Airport,HRE,FVHA
Victoria Falls,Victoria Falls Airport,VFA,FVFA
Bulawayo,Joshua Mqabuko Nkomo International Airport,BUQ,FVBU
The Valley,Clayton J. Lloyd International Airport,AXA,TQPF
St. John’s,V. C. Bird International Airport,ANU,TAPA
Oranjestad,Queen Beatrix International Airport,AUA,TNCA
Nassau,Lynden Pindling International Airport,NAS,MYNN
Chub Cay,Chub Cay International Airport,CCZ,MYBC
Exuma,Exuma International Airport,GGT,MYEF
Freeport,Grand Bahama International Airport,FPO,MYGF
North Eleuthera,North Eleuthera Airport,ELH,MYEH
South Eleuthera,Rock Sound International Airport,RSD,MYER
Marsh Harbour,Marsh Harbour International Airport,MHH,MYAM
Bridgetown,Grantley Adams International Airport,BGI,TBPB
Road Town,Terrance B. Lettsome International Airport,EIS,TUPJ
"Kralendijk, Bonaire",Flamingo International Airport,BON,TNCB
"Oranjestad, Sint Eustatius",F. D. Roosevelt Airport,EUX,TNCE
"Flat Point, Saba",Juancho E. Yrausquin Airport,SAB,TNCS
Cayman Brac,Charles Kirkconnell International Airport,CYB,MWCB
Georgetown,Owen Roberts International Airport,GCM,MWCR
Camagüey,Ignacio Agramonte International Airport,CMW,MUCM
Cayo Coco,Jardines del Rey Airport,CCC,MUCC
Cayo Largo del Sur,Vilo Acuña Airport,CYO,MUCL
Cienfuegos,Jaime González Airport,CFG,MUCF
Havana,José Martí International Airport,HAV,MUHA
Holguín,Frank País Airport,HOG,MUHG
Santa Clara,Abel Santamaría Airport,SNU,MUSC
Santiago de Cuba,Antonio Maceo Airport,SCU,MUCU
Varadero,Juan Gualberto Gómez Airport,VRA,MUVR
Willemstad,Curaçao International Airport,CUR,TNCC
Marigot,Douglas–Charles Airport,DOM,TDPD
Barahona,María Montez International Airport,BRX,MDBH
La Romana,La Romana International Airport,LRM,MDLR
Punta Cana,Punta Cana International Airport,PUJ,MDPC
Samana,Samaná El Catey International Airport,AZS,MDCY
San Felipe de Puerto Plata,Gregorio Luperón International Airport,POP,MDPP
Santiago de los Caballeros,Cibao International Airport,STI,MDST
Santo Domingo,Las Américas International Airport,SDQ,MDSD
St George’s,Maurice Bishop International Airport,GND,TGPY
Pointe-à-Pitre,Pointe-à-Pitre International Airport,PTP,TFFR
Cap-Haïtien,Cap-Haïtien International Airport,CAP,MTCH
Port-au-Prince,Toussaint Louverture International Airport,PAP,MTPP
Kingston,Norman Manley International Airport,KIN,MKJP
Montego Bay,Sangster International Airport,MBJ,MKJS
Fort-de-France,Martinique Aimé Césaire International Airport,FDF,TFFF
Brades,John A. Osborne Airport,MNI,TRPG
Aguadilla,Rafael Hernández Airport,BQN,TJBQ
San Juan,Luis Muñoz Marín International Airport,SJU,TJSJ
Saint Jean,Gustaf III Airport,SBH,TFFJ
Basseterre,Robert L. Bradshaw International Airport,SKB,TKPK
Vieux Fort Quarter,Hewanorra International Airport,UVF,TLPL
Kingstown,Argyle International Airport,SVD,TVSA
Canouan,Canouan Airport,CIW,TVSC
Philipsburg,Princess Juliana International Airport,SXM,TNCM
Port of Spain,Piarco International Airport,POS,TTPP
Tobago,A.N.R. Robinson International Airport,TAB,TTCP
Blue Hills,Providenciales Airport,PLS,MBPV
Charlotte Amalie,Cyril E. King Airport,STT,TIST
Christiansted,Henry E. Rohlsen Airport,STX,TISX
Belize City,Philip S. W. Goldson International Airport,BZE,MZBZ
Liberia,Daniel Oduber Quirós International Airport,LIR,MRLB
San José,Juan Santamaría International Airport,SJO,MROC
San Salvador,El Salvador International Airport,SAL,MSLP
Flores,Mundo Maya International Airport,FRS,MGTK
Guatemala City,La Aurora International Airport,GUA,MGGT
La Ceiba,Golosón International Airport,LCE,MHLC
Roatán,Juan Manuel Gálvez International Airport,RTB,MHRO
San Pedro Sula,Ramón Villeda Morales International Airport,SAP,MHLM
Tegucigalpa,Toncontín International Airport,TGU,MHTG
Comayagua,Comayagua International Airport,XPL,MHPR
Managua,Augusto C. Sandino International Airport,MGA,MNMG
Bluefields,Bluefields Airport,BEF,MNBL
Corn Island,Corn Island Airport,RNI,MNCI
Bocas del Toro,"Bocas del Toro ""Isla Colón"" International Airport",BOC,MPBO
"David, Chiriquí",Enrique Malek International Airport,DAV,MPDA
Panama City,"Albrook ""Marcos A. Gelabert"" International Airport",PAC,MPMG
Panama City,Panama Pacifico International Airport,BLB,MPPA
Panama City,Tocumen International Airport,PTY,MPTO
Rio Hato,Scarlett Martínez International Airport,RIH,MPSM
Hamilton,L.F. Wade International Airport,BDA,TXKF
Abbotsford,Abbotsford International Airport,YXX,CYXX
Calgary,Calgary International Airport,YYC,CYYC
Edmonton,Edmonton International Airport,YEG,CYEG
Fredericton,Fredericton International Airport,YFC,CYFC
Gander,Gander International Airport,YQX,CYQX
Halifax (Goffs),Halifax Stanfield International Airport,YHZ,CYHZ
Hamilton,John C. Munro Hamilton International Airport,YHM,CYHM
Kitchener,Region of Waterloo International Airport,YKF,CYKF
London,London International Airport,YXU,CYXU
Moncton (Dieppe),Greater Moncton Roméo LeBlanc International Airport,YQM,CYQM
Montréal (Dorval),Montréal–Trudeau International Airport,YUL,CYUL
Ottawa,Ottawa Macdonald–Cartier International Airport,YOW,CYOW
Québec City,Québec City Jean Lesage International Airport,YQB,CYQB
Regina,Regina International Airport,YQR,CYQR
Saint John,Saint John Airport,YSJ,CYSJ
St. John's,St. John's International Airport,YYT,CYYT
Thunder Bay,Thunder Bay International Airport,YQT,CYQT
Toronto (Mississauga),Toronto Pearson International Airport,YYZ,CYYZ
Toronto,Billy Bishop Toronto City Airport,YTZ,CYTZ
Vancouver (Richmond),Vancouver International Airport,YVR,CYVR
Victoria (Sidney),Victoria International Airport,YYJ,CYYJ
Whitehorse,Erik Nielsen Whitehorse International Airport,YXY,CYXY
Windsor,Windsor International Airport,YQG,CYQG
Winnipeg,Winnipeg James Armstrong Richardson International Airport,YWG,CYWG
Kangerlussuaq,Kangerlussuaq Airport,SFJ,BGSF
Nuuk,Nuuk Airport,GOH,BGGH
Ilulissat,Ilulissat Airport,JAV,BGJN
Narsarsuaq,Narsarsuaq Airport,UAK,BGBW
Acapulco,Acapulco International Airport,ACA,MMAA
Aguascalientes,Aguascalientes International Airport,AGU,MMAS
Cancún,Cancún International Airport,CUN,MMUN
Chihuahua,Chihuahua International Airport,CUU,MMCU
Ciudad del Carmen,Ciudad del Carmen International Airport,CME,MMCE
Cozumel,Cozumel International Airport,CZM,MMCZ
Culiacán,Culiacán International Airport,CUL,MMCL
Durango,Durango International Airport,DGO,MMDO
Guadalajara,Guadalajara International Airport,GDL,MMGL
Hermosillo,Hermosillo International Airport,HMO,MMHO
Huatulco,Bahías de Huatulco International Airport,HUX,MMBT
Ixtapa,Ixtapa-Zihuatanejo International Airport,ZIH,MMZH
León,León/Bajío International Airport,BJX,MMLO
Loreto,Loreto International Airport,LTO,MMLT
Los Cabos,Cabo San Lucas International Airport,CSL,MMSL
Los Cabos,Los Cabos International Airport,SJD,MMSD
Manzanillo,Playa de Oro International Airport,ZLO,MMZO
Mazatlán,Mazatlán International Airport,MZT,MMMZ
Mérida,Mérida International Airport,MID,MMMD
Mexicali,Mexicali International Airport,MXL,MMML
Mexico City,Mexico City International Airport,MEX,MMMX
Mexico City,Felipe Ángeles International Airport,NLU,MMSM
Monterrey,Monterrey International Airport,MTY,MMMY
Morelia,Morelia International Airport,MLM,MMMM
Oaxaca,Oaxaca International Airport,OAX,MMOX
Puebla,Puebla International Airport,PBC,MMPB
Puerto Escondido,Puerto Escondido International Airport,PXM,MMPS
Puerto Vallarta,Puerto Vallarta International Airport,PVR,MMPR
Querétaro,Querétaro Intercontinental Airport,QRO,MMQT
Reynosa,Reynosa International Airport,REX,MMRX
Saltillo,Saltillo International Airport,SLW,MMIO
San Luis Potosí,San Luis Potosí International Airport,SLP,MMSP
Tampico,Tampico International Airport,TAM,MMTM
Tepic,Tepic International Airport,TPQ,MMEP
Tijuana,Tijuana International Airport,TIJ,MMTJ
Toluca,Toluca International Airport,TLC,MMTO
Torreón,Torreón International Airport,TRC,MMTC
Tulum,Tulum International Airport,TQO,MMTL
Uruapan,Uruapan International Airport,UPN,MMPN
Tuxtla Gutiérrez,Tuxtla Gutiérrez International Airport,TGZ,MMTG
Uruapan,Uruapan International Airport,UPN,MMPN
Veracruz,Veracruz International Airport,VER,MMVR
Villahermosa,Villahermosa International Airport,VSA,MMVA
Zacatecas,Zacatecas International Airport,ZCL,MMZC
Saint-Pierre,Saint-Pierre Airport,FSP,LFVP
Akron,Akron Executive Airport,AKC,KAKR
Albany,Albany International Airport,ALB,KALB
Albuquerque,Albuquerque International Sunport,ABQ,KABQ
Amarillo,Rick Husband Amarillo International Airport,AMA,KAMA
Anchorage,Anchorage International Airport,ANC,PANC
Appleton,Appleton International Airport,ATW,KATW
Atlanta,Hartsfield–Jackson Atlanta International Airport,ATL,KATL
Atlantic City,Atlantic City International Airport,ACY,KACY
Austin (TX),Austin–Bergstrom International Airport,AUS,KAUS
Baltimore,Baltimore/Washington International Airport,BWI,KBWI
Bangor,Bangor International Airport,BGR,KBGR
Baudette,Baudette International Airport,BDE,KBDE
Bellingham,Bellingham International Airport,BLI,KBLI
Birmingham,Birmingham–Shuttlesworth International Airport,BHM,KBHM
Boise,Boise Airport,BOI,KBOI
Boston,Logan International Airport,BOS,KBOS
Brownsville,Brownsville/South Padre Island International Airport,BRO,KBRO
Buffalo,Buffalo Niagara International Airport,BUF,KBUF
Calexico,Calexico International Airport,CXL,KCXL
Charlotte,Charlotte Douglas International Airport,CLT,KCLT
Charleston (SC),Charleston International Airport,CHS,KCHS
Chicago,Midway International Airport,MDW,KMDW
Chicago,O'Hare International Airport,ORD,KORD
Cincinnati (OH) (Hebron),Cincinnati/Northern Kentucky International Airport,CVG,KCVG
Cleveland,Cleveland Hopkins International Airport,CLE,KCLE
Columbia (SC),Columbia Metropolitan Airport,CAE,KCAE
Columbus (OH),John Glenn Columbus International Airport,CMH,KCMH
Columbus (OH),Rickenbacker International Airport,LCK,KLCK
Corpus Christi,Corpus Christi International Airport,CRP,KCRP
Dallas,Dallas Love Field,DAL,KDAL
Dallas/Fort Worth,Dallas/Fort Worth International Airport,DFW,KDFW
Dayton (OH),Dayton International Airport,DAY,KDAY
Denver,Denver International Airport,DEN,KDEN
Des Moines (IA),Des Moines International Airport,DSM,KDSM
Detroit,Detroit Metropolitan Airport,DTW,KDTW
Duluth,Duluth International Airport,DLH,KDLH
El Paso,El Paso International Airport,ELP,KELP
Erie,Erie International Airport,ERI,KERI
Fairbanks,Fairbanks International Airport,FAI,PAFA
Fort Lauderdale,Fort Lauderdale–Hollywood International Airport,FLL,KFLL
Fort Myers,Southwest Florida International Airport,RSW,KRSW
Fresno,Fresno Yosemite International Airport,FAT,KFAT
Gary,Gary/Chicago International Airport,GYY,KGYY
Grand Rapids,Gerald R. Ford International Airport,GRR,KGRR
Green Bay,Green Bay–Austin Straubel International Airport,GRB,KGRB
Greensboro,Piedmont Triad International Airport,GSO,KGSO
Greenville,Greenville-Spartanburg International Airport,GSP,KGSP
Gulfport,Gulfport-Biloxi International Airport,GPT,KGPT
Harlingen,Valley International Airport,HRL,KHRL
Harrisburg,Harrisburg International Airport,MDT,KMDT
Hartford (CT),Bradley International Airport,BDL,KBDL
Hilo,Hilo International Airport,ITO,PHTO
Honolulu,Daniel K. Inouye International Airport,HNL,PHNL
Houston,George Bush Intercontinental Airport,IAH,KIAH
Houston,William P. Hobby Airport,HOU,KHOU
Huntsville (AL),Huntsville International Airport,HSV,KHSV
Indianapolis,Indianapolis International Airport,IND,KIND
International Falls,Falls International Airport,INL,KINL
Jackson (MS),Jackson–Medgar Wiley Evers International Airport,JAN,KJAN
Jacksonville,Jacksonville International Airport,JAX,KJAX
Juneau,Juneau International Airport,JNU,PAJN
Kailua-Kona,Kona International Airport,KOA,PHKO
Kansas City (MO),Kansas City International Airport,MCI,KMCI
Ketchikan,Ketchikan International Airport,KTN,PAKT
Key West,Key West International Airport,EYW,KEYW
Kissimmee,Kissimmee Gateway Airport,ISM,KISM
Knoxville,McGhee Tyson Airport,TYS,KTYS
Lakeland,Lakeland Linder International Airport,LAL,KLAL
Lansing,Capital Region International Airport,LAN,KLAN
Las Vegas,Harry Reid International Airport,LAS,KLAS
Little Rock,Bill and Hillary Clinton National Airport,LIT,KLIT
Los Angeles,Los Angeles International Airport,LAX,KLAX
Louisville,Louisville International Airport,SDF,KSDF
Lubbock,Lubbock Preston Smith International Airport,LBB,KLBB
Madison (WI),Dane County Regional Airport,MSN,KMSN
McAllen,McAllen Miller International Airport,MFE,KMFE
Melbourne (FL),Melbourne Orlando International Airport,MLB,KMLB
Memphis,Memphis International Airport,MEM,KMEM
Miami,Miami International Airport,MIA,KMIA
Midland/Odessa,Midland International Air and Space Port,MAF,KMAF
Milwaukee,General Mitchell International Airport,MKE,KMKE
Minneapolis/St. Paul,Minneapolis/St. Paul International Airport,MSP,KMSP
Myrtle Beach,Myrtle Beach International Airport,MYR,KMYR
Nashville,Nashville International Airport,BNA,KBNA
New Orleans,Louis Armstrong New Orleans International Airport,MSY,KMSY
New York City (Queens),John F. Kennedy International Airport,JFK,KJFK
New York City (Queens),LaGuardia Airport,LGA,KLGA
Newark,Newark Liberty International Airport,EWR,KEWR
Newburgh,Stewart International Airport,SWF,KSWF
Newport News,Newport News/Williamsburg International Airport,PHF,KPHF
Niagara Falls,Niagara Falls International Airport,IAG,KIAG
Norfolk (VA),Norfolk International Airport,ORF,KORF
Oakland,Oakland International Airport,OAK,KOAK
Oklahoma City,Will Rogers World Airport,OKC,KOKC
Omaha,Eppley Airfield,OMA,KOMA
Ontario,Ontario International Airport,ONT,KONT
Orange County (CA),John Wayne Airport,SNA,KSNA
Orlando,Orlando International Airport,MCO,KMCO
Palm Springs,Palm Springs International Airport,PSP,KPSP
Panama City (FL),Northwest Florida Beaches International Airport,ECP,KECP
Pensacola,Pensacola International Airport,PNS,KPNS
Philadelphia,Philadelphia International Airport,PHL,KPHL
Phoenix,Phoenix Sky Harbor International Airport,PHX,KPHX
Phoenix/Mesa,Phoenix–Mesa Gateway Airport,AZA,KIWA
Pittsburgh,Pittsburgh International Airport,PIT,KPIT
Portland (ME),Portland International Jetport,PWM,KPWM
Portland (OR),Portland International Airport,PDX,KPDX
Providence (Warwick),Rhode Island T. F. Green International Airport,PVD,KPVD
Racine,Batten International Airport,RAC,KRAC
Raleigh/Durham,Raleigh–Durham International Airport,RDU,KRDU
Reno,Reno–Tahoe International Airport,RNO,KRNO
Richmond (VA) (Sandston),Richmond International Airport,RIC,KRIC
Rochester (MN),Rochester International Airport,RST,KRST
Rochester (NY),Greater Rochester International Airport,ROC,KROC
Rockford (IL),Chicago Rockford International Airport,RFD,KRFD
Sacramento,Sacramento International Airport,SMF,KSMF
Salt Lake City,Salt Lake City International Airport,SLC,KSLC
San Antonio,San Antonio International Airport,SAT,KSAT
San Bernardino,San Bernardino International Airport,SBD,KSBD
San Diego,San Diego International Airport,SAN,KSAN
San Francisco,San Francisco International Airport,SFO,KSFO
San Jose (CA),San Jose International Airport,SJC,KSJC
Sanford (FL),Orlando Sanford International Airport,SFB,KSFB
Sarasota/Bradenton,Sarasota–Bradenton International Airport,SRQ,KSRQ
Savannah (GA),Savannah/Hilton Head International Airport,SAV,KSAV
Seattle,Kenmore Air Harbor Seaplane Base,LKE,LKE
Seattle,King County International Airport,BFI,KBFI
Seattle,Seattle–Tacoma International Airport,SEA,KSEA
Sheboygan,Sheboygan County Memorial Airport,SBM,KSBM
Everett (WA),Paine Field,PAE,KPAE
Spokane,Spokane International Airport,GEG,KGEG
St. Louis,St. Louis Lambert International Airport,STL,KSTL
St. Petersburg (FL),St. Pete–Clearwater International Airport,PIE,KPIE
Syracuse,Syracuse Hancock International Airport,SYR,KSYR
Tallahassee,Tallahassee International Airport,TLH,KTLH
Tampa,Tampa International Airport,TPA,KTPA
Tucson,Tucson International Airport,TUS,KTUS
Tulsa,Tulsa International Airport,TUL,KTUL
"Washington, D.C.",Ronald Reagan Washington National Airport**,DCA,KDCA
"Washington, D.C.",Dulles International Airport,IAD,KIAD
West Palm Beach,Palm Beach International Airport,PBI,KPBI
Wilkes-Barre/Scranton,Wilkes-Barre/Scranton International Airport,AVP,KAVP
Wilmington (NC),Wilmington International Airport,ILM,KILM
Buenos Aires,Ministro Pistarini International Airport,EZE,SAEZ
Buenos Aires,Aeroparque Jorge Newbery,AEP,SABE
Bariloche,San Carlos de Bariloche Airport,BRC,SAZS
Comodoro Rivadavia,General Enrique Mosconi International Airport,CRD,SAVC
Córdoba,Ingeniero Aeronáutico Ambrosio L.V. Taravella International Airport,COR,SACO
Corrientes,Doctor Fernando Piragine Niveyro International Airport,CNQ,SARC
El Calafate,Comandante Armando Tola International Airport,FTE,SAWC
El Palomar,El Palomar Airport,EPA,SADP
Esquel,Brigadier General Antonio Parodi International Airport,EQS,SAVE
Formosa,Formosa International Airport,FMA,SARF
Mar del Plata,Ástor Piazzolla International Airport,MDQ,SAZM
Mendoza,Governor Francisco Gabrielli International Airport,MDZ,SAME
Neuquén,Presidente Perón International Airport,NQN,SAZN
Posadas,Libertador General José de San Martín Airport,PSS,SARP
Puerto Iguazú,Cataratas del Iguazú International Airport,IGR,SARI
Resistencia,Resistencia International Airport,RES,SARE
Río Gallegos,Piloto Civil Norberto Fernández International Airport,RGL,SAWG
Río Grande,Hermes Quijada International Airport,RGA,SAWE
Rosario,Rosario – Islas Malvinas International Airport,ROS,SAAR
Salta,Martín Miguel de Güemes International Airport,SLA,SASA
San Miguel de Tucumán,Teniente Benjamín Matienzo International Airport,TUC,SANT
San Salvador de Jujuy,Gobernador Horacio Guzmán International Airport,JUJ,SASJ
Santa Rosa del Conlara,Valle del Conlara Airport,RLO,SAOS
Termas de Río Hondo,Termas de Río Hondo International Airport,RHD,SANH
Trelew,Almirante Marcos A. Zar Airport,REL,SAVT
Ushuaia,Ushuaia – Malvinas Argentinas International Airport,USH,SAWH
La Paz,El Alto International Airport,LPB,SLLP
Santa Cruz de la Sierra,Viru Viru International Airport,VVI,SLVR
Cochabamba,Jorge Wilstermann International Airport,CBB,SLCB
Aracaju,Santa Maria Airport,AJU,SBAR
Belém,Val de Cães International Airport,BEL,SBBE
Belo Horizonte,Tancredo Neves International Airport,CNF,SBCF
Boa Vista,Boa Vista International Airport,BVB,SBBV
Brasília,Brasília International Airport,BSB,SBBR
Campinas,Viracopos International Airport,VCP,SBKP
